deepconsensus_path,filename,sample_ID,path,accession,study,biosample_accession,total_reads,total_bp,total_Gbp,min,max,mean,quartile_25,quartile_50,quartile_75,N25,N50,N75,ntsm_score,library_ID,library_strategy,library_source,library_selection,library_layout,platform,instrument_model,design_description,data_type,shear_method,size_selection,DeepConsensus_version,polymerase_version,seq_plate_chemistry_version,generator_facility,generator_contact,ccs_algorithm,MM_tag,production,filetype,bioproject_accession,coverage,title,deepconsensus_filename
s3://human-pangenomics/submissions/3A25CF8A-1F36-42EE-BC9F-D29CECAA2A99--HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20/HG01123/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01123.m54329U_200201_051510.dc.q20.fastq.gz,m54329U_200201_051510.ccs.bam,HG01123,s3://human-pangenomics/working/HPRC/HG01123/raw_data/PacBio_HiFi/m54329U_200201_051510.ccs.bam,SRR13684290,SRP305758,SAMN17861232,2072143,34554070679,34.55,46.0,43126.0,16675,14984,16468,18160,15294,16821,18566,,HG01123_HiFiEx_f2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Sequel II,HiFi sequencing of 17kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,ccs 4.0.0 (commit SL-release-8.0.0),False,UW_HPRC_HiFi_Y1,bam,PRJNA701308,11.1,,HG01123.m54329U_200201_051510.dc.q20.fastq.gz
s3://human-pangenomics/submissions/3A25CF8A-1F36-42EE-BC9F-D29CECAA2A99--HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20/HG01258/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01258.m64076_200306_185917.dc.q20.fastq.gz,m64076_200306_185917.ccs.bam,HG01258,s3://human-pangenomics/working/HPRC/HG01258/raw_data/PacBio_HiFi_Swap_Fixed/m64076_200306_185917.ccs.bam,SRR13684289,SRP305758,SAMN17861233,1353905,26041896578,26.04,44.0,49803.0,19234,16739,18969,21696,17398,19748,22588,,HG01258.HiFiEx_f1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Sequel II,HiFi sequencing of 21kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,ccs 4.0.0 (commit SL-release-8.0.0),False,UW_HPRC_HiFi_Y1,bam,PRJNA701308,8.4,,HG01258.m64076_200306_185917.dc.q20.fastq.gz
s3://human-pangenomics/submissions/3A25CF8A-1F36-42EE-BC9F-D29CECAA2A99--HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20/HG01358/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01358.m64076_200201_051547.dc.q20.fastq.gz,m64076_200201_051547.ccs.bam,HG01358,s3://human-pangenomics/working/HPRC/HG01358/raw_data/PacBio_HiFi/m64076_200201_051547.ccs.bam,SRR13684283,SRP305758,SAMN17861234,1610516,30068543676,30.07,47.0,50034.0,18670,16676,18344,20318,17038,18766,20859,,HG01358_HiFiEx_f1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Sequel II,HiFi sequencing of 18kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,ccs 4.0.0 (commit SL-release-8.0.0),False,UW_HPRC_HiFi_Y1,bam,PRJNA701308,9.7,,HG01358.m64076_200201_051547.dc.q20.fastq.gz
s3://human-pangenomics/submissions/3A25CF8A-1F36-42EE-BC9F-D29CECAA2A99--HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20/HG01361/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01361.m54329U_200306_185930.dc.q20.fastq.gz,m54329U_200306_185930.ccs.bam,HG01361,s3://human-pangenomics/working/HPRC/HG01361/raw_data/PacBio_HiFi_Swap_Fixed/m54329U_200306_185930.ccs.bam,SRR13684282,SRP305758,SAMN17861235,1662447,33289500589,33.29,46.0,49882.0,20024,17940,19628,21705,18270,20039,22241,,HG01361.HiFiEx_f2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,ccs 4.0.0 (commit SL-release-8.0.0),False,UW_HPRC_HiFi_Y1,bam,PRJNA701308,10.7,,HG01361.m54329U_200306_185930.dc.q20.fastq.gz
s3://human-pangenomics/submissions/3A25CF8A-1F36-42EE-BC9F-D29CECAA2A99--HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20/HG01361/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01361.m64076_200221_234426.dc.q20.fastq.gz,m64076_200221_234426.ccs.bam,HG01361,s3://human-pangenomics/working/HPRC/HG01361/raw_data/PacBio_HiFi_Swap_Fixed/m64076_200221_234426.ccs.bam,SRR13684281,SRP305758,SAMN17861235,352516,6760635369,6.76,45.0,42847.0,19178,18750,19745,20615,18952,19881,20718,,HG01361.HiFiEx_f6,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Sequel II,HiFi sequencing of 21kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,ccs 4.0.0 (commit SL-release-8.0.0),False,UW_HPRC_HiFi_Y1,bam,PRJNA701308,2.2,,HG01361.m64076_200221_234426.dc.q20.fastq.gz
s3://human-pangenomics/submissions/3A25CF8A-1F36-42EE-BC9F-D29CECAA2A99--HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20/HG01891/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01891.m54329U_200124_193652.dc.q20.fastq.gz,m54329U_200124_193652.ccs.bam,HG01891,s3://human-pangenomics/working/HPRC/HG01891/raw_data/PacBio_HiFi/m54329U_200124_193652.ccs.bam,SRR13684280,SRP305758,SAMN17861236,1596347,27122049640,27.12,47.0,43693.0,16990,15765,16844,18071,15912,17016,18263,,HG01891.HiFiEx_f2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Sequel II,HiFi sequencing of 18kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,ccs 4.0.0 (commit SL-release-8.0.0),False,UW_HPRC_HiFi_Y1,bam,PRJNA701308,8.7,,HG01891.m54329U_200124_193652.dc.q20.fastq.gz
s3://human-pangenomics/submissions/3A25CF8A-1F36-42EE-BC9F-D29CECAA2A99--HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20/HG02257/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02257.m64076_200125_231256.dc.q20.fastq.gz,m64076_200125_231256.ccs.bam,HG02257,s3://human-pangenomics/working/HPRC/HG02257/raw_data/PacBio_HiFi/m64076_200125_231256.ccs.bam,SRR13684279,SRP305758,SAMN17861237,1032799,19712196692,19.71,48.0,49634.0,19086,17321,18791,20528,17578,19101,20919,,HG02257.HiFiEx_f2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Sequel II,HiFi sequencing of 21kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,ccs 4.0.0 (commit SL-release-8.0.0),False,UW_HPRC_HiFi_Y1,bam,PRJNA701308,6.4,,HG02257.m64076_200125_231256.dc.q20.fastq.gz
s3://human-pangenomics/submissions/3A25CF8A-1F36-42EE-BC9F-D29CECAA2A99--HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20/HG02486/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02486.m54329U_200215_021808.dc.q20.fastq.gz,m54329U_200215_021808.ccs.bam,HG02486,s3://human-pangenomics/working/HPRC/HG02486/raw_data/PacBio_HiFi/m54329U_200215_021808.ccs.bam,SRR13684278,SRP305758,SAMN17861238,911631,18059386105,18.06,46.0,49591.0,19809,18232,19469,21079,18400,19709,21393,,HG02486.HiFiEx_f2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Sequel II,HiFi sequencing of 22kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,ccs 4.0.0 (commit SL-release-8.0.0),False,UW_HPRC_HiFi_Y1,bam,PRJNA701308,5.8,,HG02486.m54329U_200215_021808.dc.q20.fastq.gz
s3://human-pangenomics/submissions/3A25CF8A-1F36-42EE-BC9F-D29CECAA2A99--HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20/HG02486/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02486.m54329U_200313_161638.dc.q20.fastq.gz,m54329U_200313_161638.ccs.bam,HG02486,s3://human-pangenomics/working/HPRC/HG02486/raw_data/PacBio_HiFi/m54329U_200313_161638.ccs.bam,SRR13684277,SRP305758,SAMN17861238,1472019,26976692024,26.98,47.0,49122.0,18326,16560,18020,19749,16829,18345,20156,,HG02486.HiFiEx2_f2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Sequel II,HiFi sequencing of 18kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,ccs 4.0.0 (commit SL-release-8.0.0),False,UW_HPRC_HiFi_Y1,bam,PRJNA701308,8.7,,HG02486.m54329U_200313_161638.dc.q20.fastq.gz
s3://human-pangenomics/submissions/3A25CF8A-1F36-42EE-BC9F-D29CECAA2A99--HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20/HG02486/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02486.m64076_200211_192227.dc.q20.fastq.gz,m64076_200211_192227.ccs.bam,HG02486,s3://human-pangenomics/working/HPRC/HG02486/raw_data/PacBio_HiFi/m64076_200211_192227.ccs.bam,SRR13684276,SRP305758,SAMN17861238,50172,1028856517,1.03,45.0,30053.0,20506,20033,20719,21404,20111,20780,21460,,HG02486.HiFiEx_b6,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Sequel II,HiFi sequencing of 19kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,ccs 4.0.0 (commit SL-release-8.0.0),False,UW_HPRC_HiFi_Y1,bam,PRJNA701308,0.3,,HG02486.m64076_200211_192227.dc.q20.fastq.gz
s3://human-pangenomics/submissions/3A25CF8A-1F36-42EE-BC9F-D29CECAA2A99--HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20/HG02559/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02559.m54329U_200211_192235.dc.q20.fastq.gz,m54329U_200211_192235.ccs.bam,HG02559,s3://human-pangenomics/working/HPRC/HG02559/raw_data/PacBio_HiFi/m54329U_200211_192235.ccs.bam,SRR13684288,SRP305758,SAMN17861239,346033,6838204744,6.84,48.0,37258.0,19761,18953,19868,20760,19052,19960,20835,,HG02559.HiFiEx_b6,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,ccs 4.0.0 (commit SL-release-8.0.0),False,UW_HPRC_HiFi_Y1,bam,PRJNA701308,2.2,,HG02559.m54329U_200211_192235.dc.q20.fastq.gz
s3://human-pangenomics/submissions/3A25CF8A-1F36-42EE-BC9F-D29CECAA2A99--HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20/HG02559/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02559.m54329U_200217_055345.dc.q20.fastq.gz,m54329U_200217_055345.ccs.bam,HG02559,s3://human-pangenomics/working/HPRC/HG02559/raw_data/PacBio_HiFi/m54329U_200217_055345.ccs.bam,SRR13684287,SRP305758,SAMN17861239,1575697,32259514307,32.26,47.0,50075.0,20473,18489,20058,21980,18769,20412,22456,,HG02559.HiFiEx_f2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,ccs 4.0.0 (commit SL-release-8.0.0),False,UW_HPRC_HiFi_Y1,bam,PRJNA701308,10.4,,HG02559.m54329U_200217_055345.dc.q20.fastq.gz
